year,month,stock_code,description,total_revenue
2010,1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14643.79
2010,1,DOT,DOTCOM POSTAGE,11340.51
2010,1,20748,KENSINGTON COFFEE SET,10248.60
2010,1,ADJUST,Adjustment by Peter on 24/05/2010 1,7566.29
2010,1,85099B,JUMBO BAG RED RETROSPOT,6288.81
2010,2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7975.17
2010,2,DOT,DOTCOM POSTAGE,6443.50
2010,2,20685,DOORMAT RED RETROSPOT,6399.26
2010,2,85099B,JUMBO BAG RED RETROSPOT,4733.85
2010,2,21524,DOORMAT SPOTTY HOME SWEET HOME,4073.29
2010,3,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14151.80
2010,3,84467,ENGLISH ROSE DESIGN QUILTED THROW,10787.30
2010,3,DOT,DOTCOM POSTAGE,9993.76
2010,3,22423,REGENCY CAKESTAND 3 TIER,9865.11
2010,3,85099B,JUMBO BAG RED RETROSPOT,5885.19
2010,4,22423,REGENCY CAKESTAND 3 TIER,14208.19
2010,4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9990.96
2010,4,47566,PARTY BUNTING,7018.85
2010,4,85099B,JUMBO BAG RED RETROSPOT,7007.56
2010,4,84467,ENGLISH ROSE DESIGN QUILTED THROW,6084.51
